firstPairName,firstPairRotationGroup,firstPairId,secondPairName,secondPairId,secondPairRotationGroup
"Classic Kitchens, Inc.",Group B,1033,Enchanted Kitchens,1206,Group B
Cabinet-S-Top,Group B,1023,Kitchen & Bath Depot,1265,Group B
Thomas Michael Design Studio,Group A,1204,Pace Construction LLC,1269,Group A
Classic Cabinetry,Group B,1246,Kabinet King,1270,Group B
SD Kitchens,Group A,1138,Kitchen Designs & More,1259,Group A
Leatherman Supply,Group A,1222,Hickory Hill Kitchens and Bath Inc.,1261,Group A
"Bath, Kitchen and Tile Center",Group A,1192,Nebraska Furniture Mart,1266,Group A
Creative Kitchens,Group A,1039,"The Raby Companies, Inc.",1267,Group A
Weiler's Kitchen & Bath Design Center,Group A,1157,Drury Design Kitchen & Bath Studio,1055,Group A
BKBG,Group A,2061,Murphy Bros Building & Remodeling,1252,Group A
Wish Kitchens and Baths,Group B,1176,"The Kitchen Center of RI, Inc.",1174,Group B
Dream Kitchen & Supply,Group A,1053,,,
Contractors Building Supply,Group B,1034,,,
Custom Homes Building & Remodeling,Group A,1271,Dexter Builders,1048,Group A
Caruso Cabinet Mfg,Group B,1030,Robert Johnston Kitchen & Bath,1133,Group B
